Month,Open Price,High Price,Low Price,Close Price
Jan-91,215,235,210,235
Feb-91,230,267.5,230,257.5
Mar-91,253.75,265,247.5,258.5
Apr-91,257.5,262.5,230,230
May-91,232.5,247.5,225,235
Jun-91,235,246.25,227.5,241.25
Jul-91,237.5,245,230,236.25
Aug-91,237.5,272.5,230,265
Sep-91,257.5,267.5,247.5,260
Oct-91,261.25,325,252.5,306.25
Nov-91,312.5,320,290,297.5
Dec-91,295,312.5,285,305
Jan-92,307.5,355,305,340
Feb-92,340,365,305,360
Mar-92,320,440,320,440
Apr-92,430,500,400,425
May-92,400,480,380,430
Jun-92,410,515,410,490
Jul-92,420,450,400,430
Aug-92,425,460,280,280
Sep-92,300,310,270,300
Oct-92,300,310,270,290
Nov-92,280,305,255,287.5
Dec-92,285,300,272.5,295
Jan-93,290,297,270,290
Feb-93,285,295,273.75,290
Mar-93,285,290,245,290
Apr-93,270,290,260,280
May-93,280,295,265,280
Jun-93,280,292.5,247.5,290
Jul-93,275,290,252.5,275
Aug-93,270,350,255,350
Sep-93,340,370,330,342.5
Oct-93,345,355,325,337.5
Nov-93,327.5,365,315,355
Dec-93,355,420,350,415
Jan-94,415,475,340,425
Feb-94,420,490,400,490
Mar-94,490,515,415,490
Apr-94,500,525,470,500
May-94,500,515,460,485
Jun-94,470,540,465,530
Jul-94,510,605,505,580
Aug-94,600,640,540,580
Sep-94,570,630,550,575
Oct-94,565,600,550,580
Nov-94,590,600,540,540
Dec-94,540,560,520,530
Jan-95,530,550,490,540
Feb-95,540,580,500,545
Mar-95,540,580,500,575
Apr-95,590,670,580,595
May-95,593,659,565,635
Jun-95,634,654,625,644
Jul-95,644,690,602,676
Aug-95,670,676,656,660
Sep-95,646,668,622,646
Oct-95,644,660,616,628
Nov-95,620,636,256,280
Dec-95,289,332,289,316
Jan-96,540,540,305,332
Feb-96,331,400,310,355
Mar-96,360,365,330,342.5
Apr-96,342.5,465,342.5,465
May-96,460,470,390.25,414.25
Jun-96,415,480,412,436.25
Jul-96,435,440,350,369
Aug-96,369.5,376,352,367.5
Sep-96,368,374,332.5,334.75
Oct-96,335,338,282,322
Nov-96,319.25,345,275,277.25
Dec-96,271,301,250,295.5
Jan-97,380,380,275,278.75
Feb-97,277.5,293,270,286
Mar-97,300,320,269,279.5
Apr-97,282.75,303.5,280,301.5
May-97,301,310,294,299.5
Jun-97,299.5,369.75,286.5,368
Jul-97,368,375,337,359.25
Aug-97,362.75,378.5,290.25,302
Sep-97,308,338,298.5,300.5
Oct-97,290.25,326.5,290.25,299.75
Nov-97,299.5,302,265,279.75
Dec-97,275.75,304.25,275,301
Jan-98,295,304.75,285,294.5
Feb-98,295.75,312,268.3,303.5
Mar-98,317,327.5,280.5,312
Apr-98,311,370,305,308.25
May-98,317,333,285,294.8
Jun-98,301.9,302,198,243
Jul-98,240,311.7,230,310.8
Aug-98,295,320,270,295.9
Sep-98,287,310,285,298.75
Oct-98,290,301,261.7,294
Nov-98,299.5,304,285.2,298
Dec-98,298.5,312,277,284.5
Jan-99,282,324.25,257,261.9
Feb-99,259.9,267,236.1,245.5
Mar-99,248,248,248,248
Mar-99,247,281,244,253
Apr-99,253,256.4,195,200.1
May-99,212.5,248,204.3,238
Jun-99,237,350,237,309.75
Jul-99,351,361,351,361
Jul-99,307.75,370,307.75,340
Aug-99,343,451.25,314,412.7
Sep-99,417,426,380,405
Oct-99,402,421,375,383.25
Nov-99,406,406,406,406
Nov-99,390,423.85,366.3,389.1
Dec-99,390.5,415,360,370
Jan-00,375,501,374,460
Feb-00,460.5,475,374,375
Mar-00,395,395,395,395
Mar-00,379.9,437.05,365,425
Apr-00,405,435,378,406.1
May-00,401.05,440,350,425
Jun-00,421.1,433,392,400.2
Jul-00,405,455,255,279.35
Aug-00,277.25,282.25,251.2,258.6
Sep-00,260,262,217,220.05
Oct-00,220,220,220,220
Oct-00,220,248,205,240.05
Nov-00,240.25,260,210,251.9
Dec-00,253,283,235,276.6
Jan-01,277.9,283.9,255,264.85
Feb-01,262.5,287.95,259.5,269.4
Mar-01,270,272,235.1,246.2
Apr-01,246,270,229,260.05
May-01,264,265,250,250
May-01,261.95,279,245,254.75
Jun-01,254.7,254.7,254.7,254.7
Jun-01,253,260,242.1,250
Jul-01,250,256.5,242.5,255.5
Aug-01,255,263.75,255,262.25
Sep-01,263,276,250.1,271
Oct-01,265.05,277.95,255,268.5
Nov-01,267.1,289.95,267.1,273.8
Dec-01,271.5,285,260.05,271.5
Jan-02,270,284.9,250.1,264
Feb-02,273.9,314.9,267.5,304.9
Mar-02,295.5,329,295.15,328.05
Apr-02,331,344,300,322
May-02,325,345,290,292.15
Jun-02,307.75,328,298,324.3
Jul-02,327.9,399,315,326.85
Aug-02,327,350,321,340.3
Sep-02,349,369,336.5,340.55
Oct-02,350,360,325,329.9
Nov-02,334,338.75,313,325
Dec-02,330,339.2,299.65,324.65
Jan-03,327.75,340,320,329.5
Feb-03,326.15,331,315,315.9
Mar-03,320,348.95,310,330.1
Apr-03,325.5,336.95,319,331.95
May-03,329,399,329,377.35
Jun-03,379.95,388.9,370,378.2
Jul-03,382.9,405.9,352.05,398.9
Aug-03,400,472.35,257,307.9
Sep-03,308,319.25,295,303.6
Oct-03,302.75,315,272,273.3
Nov-03,279.8,315,278.25,308.5
Dec-03,310,337,302.05,336.15
Jan-04,337,352,315,322.05
Feb-04,320,325,292.05,299.95
Mar-04,304,320,298,303.8
Apr-04,300,323.75,299,308.3
May-04,305.5,315.95,245,295
Jun-04,296,317.5,282.25,313
