STATE/UT,Upto 10 years,10-15 years,15-18 years,18-30 years,30-50 years,Above 50 years
A&N Islands,0,0,0,2,4,0
Andhra Pradesh,46,18,30,732,1336,322
Arunachal Pradesh,0,1,2,34,31,1
Assam,0,3,11,895,399,46
Bihar,44,36,106,1874,1231,150
Chandigarh,2,0,9,10,1,0
Chhattisgarh,45,20,46,289,400,174
D&N Haveli,0,0,0,0,1,2
Daman & Diu,1,0,0,5,3,0
Delhi UT,20,8,21,274,162,45
Goa,0,0,0,16,12,9
Gujarat,77,10,10,440,452,173
Haryana,27,15,45,452,382,87
Himachal Pradesh,6,2,0,37,45,16
Jammu & Kashmir,10,3,0,61,97,13
Jharkhand,1,0,52,910,638,62
Karnataka,81,17,44,742,659,141
Kerala,48,6,3,49,168,100
Lakshadweep,0,0,0,0,0,0
Madhya Pradesh,49,33,45,889,888,254
Maharashtra,143,42,40,1038,960,362
Manipur,0,1,3,29,51,15
Meghalaya,3,2,4,71,75,12
Mizoram,1,2,0,11,10,5
Nagaland,0,0,0,53,23,4
Odisha,9,7,25,683,649,127
Puducherry,0,0,0,7,15,9
Punjab,20,11,12,278,330,87
Rajasthan,29,17,26,668,668,165
Sikkim,0,0,0,9,5,1
Tamil Nadu,71,12,22,573,920,442
Tripura,4,2,3,52,58,23
Uttar Pradesh,114,119,273,2243,1826,598
Uttarakhand,4,1,2,80,83,27
West Bengal,3,13,54,1404,774,16
